,gbifKey
1096,7463625
1097,7489702
1098,7493286
1099,7610647
1100,7642884
1101,7656944
1102,7667783
1103,7899112
1104,7981943
1105,7982906
1106,7984649
1107,8007994
1108,8015535
1109,8020376
1110,8029100
1111,8084997
1112,8156702
1113,8172343
1114,8199967
1115,8281168
1116,8303832
1117,8316373
1118,8340704
1119,8374262
1120,8407996
1121,8411416
1122,8422663
1123,8484146
1124,8569107
1125,8789660
1126,8816606
1127,8913212
1128,9213313
1129,10818573
1130,10894956
1131,11253557
1132,2643351
1133,2647386
1134,2650674
1135,2673351
1136,2677484
1137,2680465
1138,2689165
1139,2703543
1140,2706158
1141,2713142
1142,2732673
1143,2733666
1144,2739249
1145,2739477
1146,2765085
1147,2785349
1148,2802083
1149,2811149
1150,2825427
1151,2844732
1152,2863016
1153,2868603
1154,2874905
1155,2886501
1156,2888207
1157,2888942
1158,2894101
1159,2896848
1160,2897833
1161,2900469
1162,2903063
1163,2909347
1164,2912167
1165,2919473
1166,2923461
1167,2925321
1168,2956859
1169,2961195
1170,2968358
1171,2969288
1172,2970648
1173,2975730
1174,2978421
1175,2980140
1176,3039471
1177,3054214
1178,3080403
1179,3080654
1180,3084932
1181,3085878
1182,3154935
1183,3156491
1184,3157359
1185,3180242
1186,3183499
1187,3573314
1188,3623473
1189,3712947
1190,3713811
1191,3731574
1192,3743001
1193,3772757
1194,3785125
1195,3785257
1196,3787129
1197,3789850
1198,3817687
1199,3889410
1200,3978077
1201,4025405
1202,4031805
1203,4078789
1204,4080605
1205,4096574
1206,4096937
1207,4097075
1208,4131460
1209,4172635
1210,4175175
1211,4181451
1212,4183773
1213,4185622
1214,4196707
1215,4196880
1216,4256166
1217,4259929
1218,4277078
1219,5280497
1220,5283757
1221,5294268
1222,5301598
1223,5315908
1224,5316734
1225,5317349
1226,5317774
1227,5327711
1228,5333979
1229,5338146
1230,5340568
1231,5342239
1232,5359405
1233,5367069
1234,5378234
1235,5412014
1236,5415001
1237,5415074
1238,5421447
1239,5535896
1240,5536083
1241,5558750
1242,5574221
1243,5588834
1244,5590137
1245,5591745
1246,5601084
