;usageKey;scientificName;canonicalName;rank;status;confidence;note;matchType;kingdom;kingdomKey;synonym;acceptedUsageKey;phylum;order;family;genus;species;phylumKey;classKey;orderKey;familyKey;genusKey;speciesKey;class;alternatives;idigbio_coreid;idigbio_scientificName;idigbio_taxon_id
1449;6;Plantae;Plantae;KINGDOM;ACCEPTED;99;"Similarity: name=100; classification=4; rank=12; status=1; nextMatch=5";HIGHERRANK;Plantae;6;False;;;;;;;;;;;;;;;3ea44ed1-1116-4466-8b81-6d96baf7a8c8;tarenna gaertn.;40010308.0
1450;6;Plantae;Plantae;KINGDOM;ACCEPTED;99;"Similarity: name=100; classification=4; rank=12; status=1; nextMatch=5";HIGHERRANK;Plantae;6;False;;;;;;;;;;;;;;;79bd2495-4eb7-4cbf-97e9-cd8a27125aab;canthium lam.;40000814.0
1451;6;Plantae;Plantae;KINGDOM;ACCEPTED;99;"Similarity: name=100; classification=4; rank=12; status=1; nextMatch=5";HIGHERRANK;Plantae;6;False;;;;;;;;;;;;;;;0ec1c089-2175-47d1-8e28-86e16f2d4829;crepidium blume;40016391.0
1452;6;Plantae;Plantae;KINGDOM;ACCEPTED;99;"Similarity: name=100; classification=4; rank=12; status=1; nextMatch=5";HIGHERRANK;Plantae;6;False;;;;;;;;;;;;;;;6c102bcd-d4f7-49ec-b188-07889c802033;eria lindl.;40004891.0
1453;6;Plantae;Plantae;KINGDOM;ACCEPTED;99;"Similarity: name=100; classification=4; rank=12; status=1; nextMatch=5";HIGHERRANK;Plantae;6;False;;;;;;;;;;;;;;;e24d3ab0-2956-4442-a595-7474bf5740d4;maesa perlaria (lour.) merr.;22002066.0
1454;6;Plantae;Plantae;KINGDOM;ACCEPTED;99;"Similarity: name=100; classification=4; rank=12; status=1; nextMatch=5";HIGHERRANK;Plantae;6;False;;;;;;;;;;;;;;;17b7e99a-0bf9-476d-a195-0fce0b6a1ec5;ardisia lanceolata roxb.;50243803.0
1455;2675553;Dicranoloma braunii Paris, 1904;Dicranoloma braunii;SPECIES;ACCEPTED;100;"Similarity: name=110; authorship=0; kingdom=10; rank=0; status=1; singleMatch=5";EXACT;Plantae;6;False;;Bryophyta;Dicranales;Dicranaceae;Dicranoloma;Dicranoloma braunii;35.0;327.0;1335.0;4635.0;2675536.0;2675553.0;Bryopsida;;48597bf8-b67c-42c8-b3ff-7c6ceafa63d4;dicranoloma braunii;223942.0
1456;5577338;Pometia pinnata J.R.Forst. & G.Forst.;Pometia pinnata;SPECIES;ACCEPTED;100;"Similarity: name=110; authorship=0; kingdom=10; rank=0; status=1; singleMatch=5";EXACT;Plantae;6;False;;Tracheophyta;Sapindales;Sapindaceae;Pometia;Pometia pinnata;7707728.0;220.0;933.0;6657.0;3233053.0;5577338.0;Magnoliopsida;;9edbd36c-fd63-4ee4-91b5-19ebe14d18a9;pometia pinnata;374567.0
1457;7290010;Belvisia mucronata (Fée) Copel.;Belvisia mucronata;SPECIES;SYNONYM;100;"Similarity: name=110; authorship=0; kingdom=10; rank=0; status=0; singleMatch=5";EXACT;Plantae;6;True;8276307.0;Tracheophyta;Polypodiales;Polypodiaceae;Lepisorus;Lepisorus mucronatus;7707728.0;7228684.0;392.0;2368.0;2650523.0;8276307.0;Polypodiopsida;;823a89c7-7098-4222-9be2-ee89bfafade3;belvisia mucronata;317026.0
1458;9116264;Nardia truncata (Nees) Schiffn.;Nardia truncata;SPECIES;SYNONYM;100;"Similarity: name=110; authorship=0; kingdom=10; rank=0; status=0; singleMatch=5";EXACT;Plantae;6;True;7807109.0;Marchantiophyta;Jungermanniales;Solenostomataceae;Solenostoma;Solenostoma truncatum;9.0;126.0;381.0;6128.0;8123202.0;7807109.0;Jungermanniopsida;;96877baa-c037-48c8-af52-092c7e8bf717;nardia truncata;189798.0
1459;3657424;Acanthophippium striatum Lindl.;Acanthophippium striatum;SPECIES;ACCEPTED;100;"Similarity: name=110; authorship=0; kingdom=10; rank=0; status=1; singleMatch=5";EXACT;Plantae;6;False;;Tracheophyta;Asparagales;Orchidaceae;Acanthophippium;Acanthophippium striatum;7707728.0;196.0;1169.0;7689.0;7320949.0;3657424.0;Liliopsida;;bba6296d-2009-4302-a4b8-da57814b8deb;acanthophippium striatum;351784.0
1460;3119250;Blumea DC.;Blumea;GENUS;ACCEPTED;96;"Similarity: name=100; authorship=0; kingdom=10; rank=0; status=1; nextMatch=0";EXACT;Plantae;6;False;;Tracheophyta;Asterales;Asteraceae;Blumea;;7707728.0;220.0;414.0;3065.0;3119250.0;;Magnoliopsida;"[{'usageKey': 3233999, 'acceptedUsageKey': 3234031, 'scientificName': 'Blumea Rchb.', 'canonicalName': 'Blumea', 'rank': 'GENUS', 'status': 'SYNONYM', 'confidence': 96, 'note': 'Similarity: name=100; authorship=0; kingdom=10; rank=0; status=0', 'matchType': 'EXACT', 'kingdom': 'Plantae', 'phylum': 'Tracheophyta', 'order': 'Malvales', 'family': 'Malvaceae', 'genus': 'Neesia', 'kingdomKey': 6, 'phylumKey': 7707728, 'classKey': 220, 'orderKey': 941, 'familyKey': 6685, 'genusKey': 3234031, 'synonym': True, 'class': 'Magnoliopsida'}]";946513fe-1d3c-4ada-805d-c70766b8e9fa;blumea;223077.0
1461;2651193;Tectaria Cav.;Tectaria;GENUS;ACCEPTED;98;"Similarity: name=100; authorship=0; kingdom=10; rank=0; status=1; nextMatch=5";EXACT;Plantae;6;False;;Tracheophyta;Polypodiales;Tectariaceae;Tectaria;;7707728.0;7228684.0;392.0;3229460.0;2651193.0;;Polypodiopsida;"[{'usageKey': 3244615, 'acceptedUsageKey': 2301191, 'scientificName': 'Tectaria Guérin-Méneville, 1829-43', 'canonicalName': 'Tectaria', 'rank': 'GENUS', 'status': 'SYNONYM', 'confidence': 0, 'note': 'Similarity: name=100; authorship=0; kingdom=-100; rank=0; status=0', 'matchType': 'EXACT', 'kingdom': 'Animalia', 'phylum': 'Mollusca', 'order': 'Littorinimorpha', 'family': 'Littorinidae', 'genus': 'Tectarius', 'kingdomKey': 1, 'phylumKey': 52, 'classKey': 225, 'orderKey': 7390893, 'familyKey': 2668, 'genusKey': 2301191, 'synonym': True, 'class': 'Gastropoda'}]";99a0d2f9-298e-4f81-ba27-5afd0256746f;tectaria;196641.0
