;idigbio_coreid;key_scientificName;gbif_key;gbif_scientificName;gbif_status;gbif_rank
698;f9b18ab8-d152-4fe2-8cc9-243a45c7f406;hymenachne auritum;;;;
743;66f34f27-7c26-4670-8ebe-1a46a7988765;undetermined;;;;
744;b9b02d1c-3fdb-4278-9e1d-4bcb92610bb9;undetermined;;;;
745;5b21c0e9-0640-4798-ac79-2bf02a0c1728;undetermined;;;;
748;ecc1cf5e-5ee2-4a4e-b6b0-961df79dbfe9;gottschea blumei;;;;
784;f10f992a-7c3d-4f01-bb81-749fcf1ca271;helicia moluccana (r. br.) blume;;;;
785;f60917cd-d3ed-4492-b487-e5b4489aabaf;syzygium p. browne ex gaertn.;;;;
786;49a799de-b886-44fc-a8c8-f7d5f9942a55;syzygium p. browne ex gaertn.;;;;
788;a1fbf578-9690-4e76-8d0d-4c2c7a2c9713;aglaia parviflora c. dc.;;;;
792;d92be73d-a9b5-4526-9bfd-d4cf983774cc;vanda jones ex r. br.;;;;
796;bcf4e184-a8d1-4a9d-86cb-c9e78d38b146;araliaceae juss.;;;;
798;9380d9b8-1eac-455d-a724-b4da58032133;syzygium p. browne ex gaertn.;;;;
799;916994c2-725d-4dba-858b-0226447ec9d1;annonaceae juss.;;;;
800;beeae6e9-3177-4855-b8af-9f95c921add3;orchidaceae juss.;;;;
801;cf27bf7d-be15-4ab7-b69c-808c881b54b5;orchidaceae juss.;;;;
802;e424bc48-c89b-49ce-be6b-8b816b3ee5b5;orchidaceae juss.;;;;
808;07afd1fc-a5b2-4729-8176-9bb053a6857f;syzygium p. browne ex gaertn.;;;;
809;9a68454b-d461-4a0a-ad0c-11c9a189b98c;euphorbiaceae juss.;;;;
810;0e54435e-12ce-4785-b65b-85b975f5c582;rubiaceae juss.;;;;
816;944dde4b-f8ea-44e8-855a-3ee5b66639a5;syzygium p. browne ex gaertn.;;;;
818;68ce312e-4db0-43d9-b7a6-9d1c8ab89122;sersalisia r. br.;;;;
826;e7ae4dd8-64f1-430c-8375-de7b1f733b17;madhuca ham. ex j.f. gmel.;;;;
828;9dcb12cd-61ed-4c4b-bd4f-e4a50594ae97;pimelea concreta f. muell.;;;;
834;af99ab3a-2f98-4325-b009-426f40decb2a;sapindaceae juss.;;;;
