;usageKey;acceptedUsageKey;scientificName;canonicalName;rank;status;confidence;matchType;kingdom;phylum;order;family;genus;kingdomKey;phylumKey;classKey;orderKey;familyKey;genusKey;synonym;class;species;speciesKey;note
1329;4098487;;Dendrocnide stimulans (L.fil.) Chew;Dendrocnide stimulans;SPECIES;ACCEPTED;100;EXACT;Plantae;Tracheophyta;Rosales;Urticaceae;Dendrocnide;6;7707728.0;220.0;691.0;6639.0;6414479.0;False;Magnoliopsida;Dendrocnide stimulans;4098487.0;
1330;4001649;;Dendrophthoe pentandra (L.) Miq.;Dendrophthoe pentandra;SPECIES;ACCEPTED;99;EXACT;Plantae;Tracheophyta;Santalales;Loranthaceae;Dendrophthoe;6;7707728.0;220.0;934.0;6663.0;7287931.0;False;Magnoliopsida;Dendrophthoe pentandra;4001649.0;
1331;8121249;;Dendrotrophe frutescens (Benth.) Danser;Dendrotrophe frutescens;SPECIES;ACCEPTED;99;EXACT;Plantae;Tracheophyta;Santalales;Amphorogynaceae;Dendrotrophe;6;7707728.0;220.0;934.0;4934358.0;7265262.0;False;Magnoliopsida;Dendrotrophe frutescens;8121249.0;
1332;7265263;;Dendrotrophe umbellata (Blume) Miq.;Dendrotrophe umbellata;SPECIES;ACCEPTED;100;EXACT;Plantae;Tracheophyta;Santalales;Amphorogynaceae;Dendrotrophe;6;7707728.0;220.0;934.0;4934358.0;7265262.0;False;Magnoliopsida;Dendrotrophe umbellata;7265263.0;
1333;5350305;;Derris elliptica (Wall.) Benth.;Derris elliptica;SPECIES;ACCEPTED;99;EXACT;Plantae;Tracheophyta;Fabales;Fabaceae;Derris;6;7707728.0;220.0;1370.0;5386.0;2947465.0;False;Magnoliopsida;Derris elliptica;5350305.0;
1334;5360051;2976768.0;Derris heptaphylla (L.) Merr.;Derris heptaphylla;SPECIES;SYNONYM;100;EXACT;Plantae;Tracheophyta;Fabales;Fabaceae;Aganope;6;7707728.0;220.0;1370.0;5386.0;2976739.0;True;Magnoliopsida;Aganope heptaphylla;2976768.0;
1335;5350355;5350229.0;Derris malaccensis (Benth.) Prain;Derris malaccensis;SPECIES;SYNONYM;100;EXACT;Plantae;Tracheophyta;Fabales;Fabaceae;Derris;6;7707728.0;220.0;1370.0;5386.0;2947465.0;True;Magnoliopsida;Derris montana;5350229.0;
1336;5350233;;Derris polyphylla Koord. & Valeton;Derris polyphylla;SPECIES;ACCEPTED;99;EXACT;Plantae;Tracheophyta;Fabales;Fabaceae;Derris;6;7707728.0;220.0;1370.0;5386.0;2947465.0;False;Magnoliopsida;Derris polyphylla;5350233.0;
1337;5386;;Fabaceae;Fabaceae;FAMILY;ACCEPTED;99;HIGHERRANK;Plantae;Tracheophyta;Fabales;Fabaceae;;6;7707728.0;220.0;1370.0;5386.0;;False;Magnoliopsida;;;
1338;2947465;;Derris Lour.;Derris;GENUS;ACCEPTED;95;HIGHERRANK;Plantae;Tracheophyta;Fabales;Fabaceae;Derris;6;7707728.0;220.0;1370.0;5386.0;2947465.0;False;Magnoliopsida;;;
1339;5350336;;Derris trifoliata Lour.;Derris trifoliata;SPECIES;ACCEPTED;100;EXACT;Plantae;Tracheophyta;Fabales;Fabaceae;Derris;6;7707728.0;220.0;1370.0;5386.0;2947465.0;False;Magnoliopsida;Derris trifoliata;5350336.0;
1340;2738754;;Desmoncus orthacanthos Mart.;Desmoncus orthacanthos;SPECIES;ACCEPTED;86;FUZZY;Plantae;Tracheophyta;Arecales;Arecaceae;Desmoncus;6;7707728.0;196.0;552.0;7681.0;2738753.0;False;Liliopsida;Desmoncus orthacanthos;2738754.0;
1341;2950841;2950828.0;Desmodium auriculatum DC.;Desmodium auriculatum;SPECIES;SYNONYM;96;FUZZY;Plantae;Tracheophyta;Fabales;Fabaceae;Tadehagi;6;7707728.0;220.0;1370.0;5386.0;2950827.0;True;Magnoliopsida;Tadehagi triquetrum;2950828.0;
1342;2959547;2959543.0;Desmodium biarticulatum (L.) F.Muell.;Desmodium biarticulatum;SPECIES;SYNONYM;100;EXACT;Plantae;Tracheophyta;Fabales;Fabaceae;Aphyllodium;6;7707728.0;220.0;1370.0;5386.0;2947277.0;True;Magnoliopsida;Aphyllodium biarticulatum;2959543.0;
1343;2967815;10718566.0;Desmodium capitatum (Burm.f.) DC.;Desmodium capitatum;SPECIES;SYNONYM;100;EXACT;Plantae;Tracheophyta;Fabales;Fabaceae;Grona;6;7707728.0;220.0;1370.0;5386.0;9615544.0;True;Magnoliopsida;Grona retroflexa;10718566.0;
1344;11440699;;Desmodium gangeticum Puri, 1951;Desmodium gangeticum;SPECIES;ACCEPTED;99;EXACT;Plantae;Tracheophyta;Fabales;Fabaceae;Desmodium;6;7707728.0;220.0;1370.0;5386.0;2967050.0;False;Magnoliopsida;Desmodium gangeticum;11440699.0;
1345;2968950;2968949.0;Desmodium gyrans (L.f.) DC.;Desmodium gyrans;SPECIES;SYNONYM;100;EXACT;Plantae;Tracheophyta;Fabales;Fabaceae;Codariocalyx;6;7707728.0;220.0;1370.0;5386.0;2968941.0;True;Magnoliopsida;Codariocalyx motorius;2968949.0;
1346;5386;;Fabaceae;Fabaceae;FAMILY;ACCEPTED;99;HIGHERRANK;Plantae;Tracheophyta;Fabales;Fabaceae;;6;7707728.0;220.0;1370.0;5386.0;;False;Magnoliopsida;;;
1347;2967682;10775938.0;Desmodium heterocarpon (L.) DC.;Desmodium heterocarpon;SPECIES;SYNONYM;100;EXACT;Plantae;Tracheophyta;Fabales;Fabaceae;Grona;6;7707728.0;220.0;1370.0;5386.0;9615544.0;True;Magnoliopsida;Grona heterocarpos;10775938.0;
1348;2967708;10734509.0;Desmodium heterophyllum (Willd.) DC.;Desmodium heterophyllum;SPECIES;SYNONYM;99;EXACT;Plantae;Tracheophyta;Fabales;Fabaceae;Grona;6;7707728.0;220.0;1370.0;5386.0;9615544.0;True;Magnoliopsida;Grona heterophylla;10734509.0;
1349;2967846;;Desmodium intortum (Mill.) Urb.;Desmodium intortum;SPECIES;ACCEPTED;100;EXACT;Plantae;Tracheophyta;Fabales;Fabaceae;Desmodium;6;7707728.0;220.0;1370.0;5386.0;2967050.0;False;Magnoliopsida;Desmodium intortum;2967846.0;
1350;11840379;;Desmodium latifolium Puri, 1951;Desmodium latifolium;SPECIES;ACCEPTED;99;EXACT;Plantae;Tracheophyta;Fabales;Fabaceae;Desmodium;6;7707728.0;220.0;1370.0;5386.0;2967050.0;False;Magnoliopsida;Desmodium latifolium;11840379.0;
