;FNFNUM;TAXON;TAXAUTHOR;GENUS;SPECIES;SUBSPECIES;VARIETY;FORMA;CULTIVAR;SPAUT;SPSAUT;SPVAUT;SPFAUT;CULTAUT;FAMILY;SPCMT;PLCO;TAXNO;VALIDTAXNO;GRINVERIFY;USEAGE;USERID;CREATED;MODIFIED
339;208;Capsicum frutescens;L.;Capsicum;frutescens;;;;;L.;;;;;Solanaceae;;;8913.0;8913.0;;F;DUKE;10-DEC-97;15-JUL-05
344;1482;Careya arborea;;Careya;arborea;;;;;;;;;;Lecythidaceae;;;423714.0;423714.0;;M;DUKE;10-DEC-97;15-JUL-05
345;209;Carica papaya;L.;Carica;papaya;;;;;L.;;;;;Caricaceae;;;9147.0;9147.0;;F;DUKE;10-DEC-97;15-JUL-05
348;210;Carthamus tinctorius;L.;Carthamus;tinctorius;;;;;L.;;;;;Asteraceae;;580748001.0;9243.0;9243.0;;G;DUKE;10-DEC-97;15-JUL-05
349;211;Carum carvi;L.;Carum;carvi;;;;;L.;;;;;Apiaceae;Synonyms: Carum velenovskyi Rohlena;464128001.0;9245.0;9245.0;;F;DUKE;10-DEC-97;15-JUL-05
355;215;Cassia grandis;L. f.;Cassia;grandis;;;;;L. f.;;;;;Fabaceae;;283102028.0;9340.0;9340.0;;M;DUKE;10-DEC-97;15-JUL-05
357;1710;Cassia obtusifolia;;Cassia;obtusifolia;;;;;;;;;;Fabaceae;;;;;;M;DUKE;10-DEC-97;15-JUL-05
358;1484;Cassia siamea;;Cassia;siamea;;;;;;;;;;Fabaceae;;;;;;M;DUKE;10-DEC-97;15-JUL-05
359;217;Cassia tora;L.;Cassia;tora;;;;;L.;;;;;Fabaceae;;283102007.0;;;;M;DUKE;10-DEC-97;15-JUL-05
364;220;Castanea sativa;MILLER;Castanea;sativa;;;;;MILLER;;;;;Fagaceae;;123003005.0;9445.0;9445.0;;F;DUKE;10-DEC-97;15-JUL-05
366;1487;Castanopsis eyrei;;Castanopsis;eyrei;;;;;;;;;;Fagaceae;;;9510.0;9510.0;;M;DUKE;10-DEC-97;15-JUL-05
368;221;Castanospermum australe;A. CUNN. & C. FRASER EX HOOK.;Castanospermum;australe;;;;;A. CUNN. & C. FRASER EX HOOK.;;;;;Fabaceae;;283167001.0;9525.0;9525.0;;M;DUKE;10-DEC-97;15-JUL-05
372;223;Catha edulis;VAHL;Catha;edulis;;;;;VAHL;;;;;Celastraceae;;348012001.0;9606.0;9606.0;;M;DUKE;10-DEC-97;15-JUL-05
375;225;Catharanthus roseus;(L.) G. DON;Catharanthus;roseus;;;;;(L.) G. DON;;;;;Apocynaceae;;;70159.0;70159.0;;M;DUKE;10-DEC-97;15-JUL-05
379;227;Cedrela odorata;L.;Cedrela;odorata;;;;;L.;;;;;Meliaceae;;312001002.0;9685.0;9685.0;;M;DUKE;10-DEC-97;15-JUL-05
382;1204;Ceiba pentandra;(L.) GAERTN.;Ceiba;pentandra;;;;;(L.) GAERTN.;;;;;Bombacaceae;;;9703.0;9703.0;;M;DUKE;10-DEC-97;15-JUL-05
383;230;Celosia cristata;L.;Celosia;cristata;;;;;L.;;;;;Amaranthaceae;;153004001.0;;;;M;DUKE;10-DEC-97;15-JUL-05
384;231;Cenchrus biflorus;ROXB;Cenchrus;biflorus;;;;;ROXB;;;;;Poaceae;;38074002.0;9791.0;9791.0;;M;DUKE;10-DEC-97;15-JUL-05
388;235;Centella asiatica;(L.) URBAN;Centella;asiatica;;;;;(L.) URBAN;;;;;Apiaceae;;464002001.0;9831.0;9831.0;;M;DUKE;10-DEC-97;15-JUL-05
389;1848;Centrosema pascuorum;C. MART. EX BENTH.;Centrosema;pascuorum;;;;;C. MART. EX BENTH.;;;;;Fabaceae;;;70162.0;70162.0;;M;DUKE;10-DEC-97;15-JUL-05
390;1849;Centrosema plumieri;(TURPIN EX PERS.) BENTH.;Centrosema;plumieri;;;;;(TURPIN EX PERS.) BENTH.;;;;;Fabaceae;;;9847.0;9847.0;;M;DUKE;10-DEC-97;15-JUL-05
393;236;Cephaelis ipecacuanha;(BROT.) A. RICH.;Cephaelis;ipecacuanha;;;;;(BROT.) A. RICH.;;;;;Rubiaceae;;562292001.0;;;;M;DUKE;10-DEC-97;15-JUL-05
398;241;Cephalotaxus mannii;;Cephalotaxus;mannii;;;;;;;;;;Cephalotaxaceae;;;;;;M;DUKE;10-DEC-97;15-JUL-05
402;1489;Ceriops decandra;;Ceriops;decandra;;;;;;;;;;Rhizophoraceae;;;;;;M;DUKE;10-DEC-97;15-JUL-05
403;245;Chaenomeles lagenaria;KOIDZ.;Chaenomeles;lagenaria;;;;;KOIDZ.;;;;;Rosaceae;;;;;;F;DUKE;10-DEC-97;15-JUL-05
404;1412;Chaenomeles speciosa;NAKAI;Chaenomeles;speciosa;;;;;NAKAI;;;;;Rosaceae;;;10014.0;10014.0;;;DUKE;10-DEC-97;15-JUL-05
413;246;Chamaemelum nobile;(L.) ALL.;Chamaemelum;nobile;;;;;(L.) ALL.;;;;;Asteraceae;;580909001.0;104133.0;104133.0;;G;DUKE;10-DEC-97;15-JUL-05
416;247;Chamaesyce hypericifolia;MILLSP.;Chamaesyce;hypericifolia;;;;;MILLSP.;;;;;Euphorbiaceae;;;412018.0;412018.0;;M;DUKE;10-DEC-97;15-JUL-05
418;248;Chelidonium majus;L.;Chelidonium;majus;;;;;L.;;;;;Papaveraceae;;;10169.0;10169.0;;M;DUKE;10-DEC-97;15-JUL-05
419;249;Chenopodium album;L.;Chenopodium;album;;;;;L.;;;;;Chenopodiaceae;;;10178.0;10178.0;;F;DUKE;10-DEC-97;15-JUL-05
420;250;Chenopodium ambrosioides;L.;Chenopodium;ambrosioides;;;;;L.;;;;;Chenopodiaceae;;150010002.0;;;;M;DUKE;10-DEC-97;15-JUL-05
421;2129;Chenopodium quinoa;;Chenopodium;quinoa;;;;;;;;;;Chenopodiaceae;;;10194.0;10194.0;;M;DUKE;10-DEC-97;15-JUL-05
429;256;Chrysanthemum coronarium;L.;Chrysanthemum;coronarium;;;;;L.;;;;;Asteraceae;;580612004.0;;;;G;DUKE;10-DEC-97;15-JUL-05
431;257;Chrysanthemum parthenium;(L.) BERNH.;Chrysanthemum;parthenium;;;;;(L.) BERNH.;;;;;Asteraceae;Synonym for Tanacetum parthenium;;;;;M;DUKE;10-DEC-97;15-JUL-05
433;1221;Chrysophyllum cainito;RADLK.;Chrysophyllum;cainito;;;;;RADLK.;;;;;Sapotaceae;;;10405.0;10405.0;;;DUKE;10-DEC-97;15-JUL-05
434;258;Cicer arietinum;L.;Cicer;arietinum;;;;;L.;;;;;Fabaceae;;283417001.0;10535.0;10535.0;;F;DUKE;10-DEC-97;15-JUL-05
435;259;Cichorium endivia;L.;Cichorium;endivia;;;;;L.;;;;;Asteraceae;;580823001.0;10542.0;10542.0;;F;DUKE;10-DEC-97;15-JUL-05
436;260;Cichorium intybus;L.;Cichorium;intybus;;;;;L.;;;;;Asteraceae;;580823002.0;10543.0;10543.0;;F;DUKE;10-DEC-97;15-JUL-05
437;261;Cicuta maculata;L.;Cicuta;maculata;;;;;L.;;;;;Apiaceae;;464119001.0;10545.0;10545.0;;M;DUKE;10-DEC-97;15-JUL-05
439;263;Cimicifuga racemosa;(L.) NUTT.;Cimicifuga;racemosa;;;;;(L.) NUTT.;;;;;Ranunculaceae;Synonym of Actaea racemosa L.;;;;;M;DUKE;10-DEC-97;15-JUL-05
441;265;Cinnamomum aromaticum;NEES;Cinnamomum;aromaticum;;;;;NEES;;;;;Lauraceae;Synonym: Cinnamomum cassia;218001001.0;70182.0;70182.0;;G;DUKE;10-DEC-97;15-JUL-05
442;266;Cinnamomum burmannii;(NEES) BLUME;Cinnamomum;burmannii;;;;;(NEES) BLUME;;;;;Lauraceae;;218001002.0;10577.0;10577.0;;M;DUKE;10-DEC-97;15-JUL-05
443;267;Cinnamomum camphora;(L.) NEES & EBERM.;Cinnamomum;camphora;;;;;(L.) NEES & EBERM.;;;;;Lauraceae;;218001003.0;10578.0;10578.0;;M;DUKE;10-DEC-97;15-JUL-05
446;1346;Cinnamomum iners;REINWARDT;Cinnamomum;iners;;;;;REINWARDT;;;;;Lauraceae;;;;;;;DUKE;10-DEC-97;15-JUL-05
447;1347;Cinnamomum javanicum;BLUME;Cinnamomum;javanicum;;;;;BLUME;;;;;Lauraceae;;;;;;;DUKE;10-DEC-97;15-JUL-05
449;1349;Cinnamomum porrectum;(ROXB.) KOSTERM.;Cinnamomum;porrectum;;;;;(ROXB.) KOSTERM.;;;;;Lauraceae;;;;;;;DUKE;10-DEC-97;15-JUL-05
451;268;Cinnamomum sieboldii;;Cinnamomum;sieboldii;;;;;;;;;;Lauraceae;;;;;;M;DUKE;10-DEC-97;15-JUL-05
453;269;Cinnamomum verum;J. PRESL;Cinnamomum;verum;;;;;J. PRESL;;;;;Lauraceae;Synonym: Cinnamomum zeylanicum;218001005.0;70183.0;70183.0;;G;DUKE;10-DEC-97;15-JUL-05
454;270;Cissampelos pareira;L.;Cissampelos;pareira;;;;;L.;;;;;Menispermaceae;;196008001.0;10605.0;10605.0;;M;DUKE;10-DEC-97;15-JUL-05
455;1301;Cissus verticillata;L>;Cissus;verticillata;;;;;L>;;;;;Vitaceae;;;310369.0;310369.0;;;DUKE;10-DEC-97;15-JUL-05
460;273;Citrullus colocynthis;;Citrullus;colocynthis;;;;;;;;;;Cucurbitaceae;;571051001.0;10674.0;10674.0;;M;DUKE;10-DEC-97;15-JUL-05
461;274;Citrullus lanatus;(THUNB.) MATSUM. & NAKAI;Citrullus;lanatus;;;;;(THUNB.) MATSUM. & NAKAI;;;;;Cucurbitaceae;;571051002.0;10675.0;10675.0;;F;DUKE;10-DEC-97;15-JUL-05
462;275;Citrus aurantiifolia;(CHRISTM.) SWINGLE;Citrus;aurantiifolia;;;;;(CHRISTM.) SWINGLE;;;;;Rutaceae;;;10683.0;10683.0;;F;DUKE;10-DEC-97;15-JUL-05
464;276;Citrus aurantium;L.;Citrus;aurantium;;;;;L.;;;;;Rutaceae;;;10684.0;10684.0;;F;DUKE;10-DEC-97;15-JUL-05
467;2156;Citrus limetta;;Citrus;limetta;;;;;;;;;;Rutaceae;;;10730.0;10730.0;;F;DUKE;10-DEC-97;15-JUL-05
468;279;Citrus limon;(L.) BURMAN f.;Citrus;limon;;;;;(L.) BURMAN f.;;;;;Rutaceae;;302115004.0;10732.0;10732.0;;F;DUKE;10-DEC-97;15-JUL-05
469;280;Citrus medica;L.;Citrus;medica;;;;;L.;;;;;Rutaceae;;302115005.0;10745.0;10745.0;;F;DUKE;10-DEC-97;15-JUL-05
471;1222;Citrus mitis;BLANCO;Citrus;mitis;;;;;BLANCO;;;;;Rutaceae;;;;;;F;DUKE;10-DEC-97;15-JUL-05
472;283;Citrus paradisi;MacFAD.;Citrus;paradisi;;;;;MacFAD.;;;;;Rutaceae;;302115006.0;;;;F;DUKE;10-DEC-97;15-JUL-05
473;281;Citrus reticulata;BLANCO;Citrus;reticulata;;;;;BLANCO;;;;;Rutaceae;;302115007.0;10778.0;10778.0;;F;DUKE;10-DEC-97;15-JUL-05
474;282;Citrus sinensis;(L.) OSBECK;Citrus;sinensis;;;;;(L.) OSBECK;;;;;Rutaceae;;;10782.0;10782.0;;F;DUKE;10-DEC-97;15-JUL-05
477;1354;Citrus sudachi;HORT. EX SHIRAI;Citrus;sudachi;;;;;HORT. EX SHIRAI;;;;;Rutaceae;;;314333.0;314333.0;;;DUKE;10-DEC-97;15-JUL-05
478;1144;Citrus unshiu;MARKOVITCH;Citrus;unshiu;;;;;MARKOVITCH;;;;;Rutaceae;;;10793.0;10793.0;;M;DUKE;10-DEC-97;15-JUL-05
479;1714;Claoxylon polot;;Claoxylon;polot;;;;;;;;;;Euphorbiaceae;;;;;;M;DUKE;10-DEC-97;15-JUL-05
481;284;Clematis vitalba;L.;Clematis;vitalba;;;;;L.;;;;;Ranunculaceae;;;136.0;136.0;;M;DUKE;10-DEC-97;15-JUL-05
483;1491;Clerodendrum inerme;;Clerodendrum;inerme;;;;;;;;;;Lamiaceae;;;417493.0;417493.0;;M;DUKE;10-DEC-97;15-JUL-05
484;1492;Clinacanthus nutans;;Clinacanthus;nutans;;;;;;;;;;Acanthaceae;;;;;;M;DUKE;10-DEC-97;15-JUL-05
485;1355;Clinopodium umbrosum;(M.BIEB.) KOCH;Clinopodium;umbrosum;;;;;(M.BIEB.) KOCH;;;;;Lamiaceae;;;407595.0;407595.0;;;DUKE;10-DEC-97;15-JUL-05
488;1862;Clitoria ternatea;L.;Clitoria;ternatea;;;;;L.;;;;;Fabaceae;;;10942.0;10942.0;;M;DUKE;10-DEC-97;15-JUL-05
495;288;Cocos nucifera;L.;Cocos;nucifera;;;;;L.;;;;;Arecaceae;;;11043.0;11043.0;;F;DUKE;10-DEC-97;15-JUL-05
496;289;Coffea arabica;L.;Coffea;arabica;;;;;L.;;;;;Rubiaceae;;;300141.0;300141.0;;F;DUKE;10-DEC-97;15-JUL-05
497;290;Coix lacryma-jobi;L.;Coix;lacryma-jobi;;;;;L.;;;;;Poaceae;;38007001.0;11129.0;11129.0;;F;DUKE;10-DEC-97;15-JUL-05
498;291;Cola acuminata;(P. BEAUV.) SCHOTT & ENDL.;Cola;acuminata;;;;;(P. BEAUV.) SCHOTT & ENDL.;;;;;Sterculiaceae;;380048001.0;101905.0;101905.0;;F;DUKE;10-DEC-97;15-JUL-05
501;295;Coleus blumei;BENTH.;Coleus;blumei;;;;;BENTH.;;;;;Lamiaceae;;538146003.0;;;;M;DUKE;10-DEC-97;15-JUL-05
505;297;Colocasia esculenta;(L.) SCHOTT;Colocasia;esculenta;;;;;(L.) SCHOTT;;;;;Araceae;;;11177.0;11177.0;;F;DUKE;10-DEC-97;15-JUL-05
511;1283;Commelina benghalensis;L.;Commelina;benghalensis;;;;;L.;;;;;Commelinaceae;;;311531.0;311531.0;;M;DUKE;10-DEC-97;15-JUL-05
512;1284;Commelina communis;L.;Commelina;communis;;;;;L.;;;;;Commelinaceae;;;311532.0;311532.0;;M;DUKE;10-DEC-97;15-JUL-05
513;2132;Commiphora mukul;;Commiphora;mukul;;;;;;;;;;Burseraceae;Synonym of Commiphora Wightii (Arn.) Bhandari;;;;;M;DUKE;10-DEC-97;15-JUL-05
514;298;Commiphora myrrha;(NEES) ENGL.;Commiphora;myrrha;;;;;(NEES) ENGL.;;;;;Burseraceae;Syns: Balsamodendrum myrrha, C. molmol, C. myrrha var.molmol;;402550.0;402550.0;;G;DUKE;10-DEC-97;15-JUL-05
516;299;Conium maculatum;L.;Conium;maculatum;;;;;L.;;;;;Apiaceae;;;11262.0;11262.0;;M;DUKE;10-DEC-97;15-JUL-05
519;302;Conyza canadensis;(L.) CRONQ.;Conyza;canadensis;;;;;(L.) CRONQ.;;;;;Asteraceae;;;104171.0;104171.0;;M;DUKE;10-DEC-97;15-JUL-05
521;304;Coptis chinensis;FRANCH.;Coptis;chinensis;;;;;FRANCH.;;;;;Ranunculaceae;;;402553.0;402553.0;;M;DUKE;10-DEC-97;15-JUL-05
522;305;Coptis japonica;(THUNB.) MAKINO;Coptis;japonica;;;;;(THUNB.) MAKINO;;;;;Ranunculaceae;;;403064.0;403064.0;;M;DUKE;10-DEC-97;15-JUL-05
524;307;Corchorus olitorius;L.;Corchorus;olitorius;;;;;L.;;;;;Tiliaceae;;;11458.0;11458.0;;F;DUKE;10-DEC-97;15-JUL-05
525;308;Coriandrum sativum;L.;Coriandrum;sativum;;;;;L.;;;;;Apiaceae;;;11523.0;11523.0;;F;DUKE;10-DEC-97;15-JUL-05
529;1495;Cornus capitata;;Cornus;capitata;;;;;;;;;;Cornaceae;;;11546.0;11546.0;;M;DUKE;10-DEC-97;15-JUL-05
537;315;Crataegus cuneata;SIEB. & ZUCC.;Crataegus;cuneata;;;;;SIEB. & ZUCC.;;;;;Rosaceae;;;12091.0;12091.0;;M;DUKE;10-DEC-97;15-JUL-05
538;316;Crataegus laevigata;(POIR.) DC;Crataegus;laevigata;;;;;(POIR.) DC;;;;;Rosaceae;Crataegus oxyacantha auct. is a synonym;;313800.0;313800.0;;M;DUKE;10-DEC-97;15-JUL-05
539;1721;Crateva religiosa;;Crateva;religiosa;;;;;;;;;;Capparaceae;;;12158.0;12158.0;;M;DUKE;10-DEC-97;15-JUL-05
540;1722;Crateva tapia;;Crateva;tapia;;;;;;;;;;Capparaceae;;;410983.0;410983.0;;M;DUKE;10-DEC-97;15-JUL-05
541;318;Crocus sativus;L.;Crocus;sativus;;;;;L.;;;;;Iridaceae;;91001001.0;12265.0;12265.0;;M;DUKE;10-DEC-97;15-JUL-05
542;319;Crotalaria juncea;L.;Crotalaria;juncea;;;;;L.;;;;;Fabaceae;;283235002.0;12331.0;12331.0;;M;DUKE;10-DEC-97;15-JUL-05
543;320;Crotalaria retusa;L.;Crotalaria;retusa;;;;;L.;;;;;Fabaceae;;;12374.0;12374.0;;M;DUKE;10-DEC-97;15-JUL-05
544;1723;Crotalaria semperflorens;;Crotalaria;semperflorens;;;;;;;;;;Fabaceae;;;12379.0;12379.0;;M;DUKE;10-DEC-97;15-JUL-05
545;321;Croton eluteria;(L.) SW.;Croton;eluteria;;;;;(L.) SW.;;;;;Euphorbiaceae;;;12406.0;12406.0;;M;DUKE;10-DEC-97;15-JUL-05
548;322;Croton tiglium;L.;Croton;tiglium;;;;;L.;;;;;Euphorbiaceae;;328063001.0;12426.0;12426.0;;M;DUKE;10-DEC-97;15-JUL-05
549;323;Cryptostegia grandifolia;R. BR.;Cryptostegia;grandifolia;;;;;R. BR.;;;;;Asclepiadaceae;;;;;;M;DUKE;10-DEC-97;15-JUL-05
551;325;Cucumis sativus;L.;Cucumis;sativus;;;;;L.;;;;;Cucurbitaceae;;571052003.0;404426.0;404426.0;;F;DUKE;10-DEC-97;15-JUL-05
553;326;Cucurbita maxima;DUCH.;Cucurbita;maxima;;;;;DUCH.;;;;;Cucurbitaceae;;571075002.0;12597.0;12597.0;;F;DUKE;10-DEC-97;15-JUL-05
554;327;Cucurbita pepo;L.;Cucurbita;pepo;;;;;L.;;;;;Cucurbitaceae;;;12606.0;12606.0;;F;DUKE;10-DEC-97;15-JUL-05
556;329;Cuminum cyminum;L.;Cuminum;cyminum;;;;;L.;;;;;Apiaceae;;464110001.0;12617.0;12617.0;;F;DUKE;10-DEC-97;15-JUL-05
558;1724;Cuphea carthagenensis;;Cuphea;carthagenensis;;;;;;;;;;Lythraceae;;;12631.0;12631.0;;M;DUKE;10-DEC-97;15-JUL-05
562;331;Curcuma longa;L.;Curcuma;longa;;;;;L.;;;;;Zingiberaceae;Synonyms: Curcuma domestica Valeton;;12676.0;12676.0;;F;DUKE;10-DEC-97;15-JUL-05
563;332;Curcuma xanthorrhiza;ROXB.;Curcuma;xanthorrhiza;;;;;ROXB.;;;;;Zingiberaceae;;;411356.0;411356.0;;M;DUKE;10-DEC-97;15-JUL-05
564;333;Curcuma zedoaria;(CHRISTM.) ROSCOE;Curcuma;zedoaria;;;;;(CHRISTM.) ROSCOE;;;;;Zingiberaceae;Synonyms: Amomum zedoaria Christm.;96028002.0;12678.0;12678.0;;M;DUKE;10-DEC-97;15-JUL-05
566;1307;Cuscuta reflexa;ROXB.;Cuscuta;reflexa;;;;;ROXB.;;;;;Cuscutaceae;;;318333.0;318333.0;;;DUKE;10-DEC-97;15-JUL-05
567;334;Cycas revoluta;THUNB.;Cycas;revoluta;;;;;THUNB.;;;;;Cycadaceae;;1001002.0;12727.0;12727.0;;M;DUKE;10-DEC-97;15-JUL-05
570;337;Cymbopogon citratus;(DC. ex NEES) STAPF;Cymbopogon;citratus;;;;;(DC. ex NEES) STAPF;;;;;Poaceae;Synonyms: Andropogon citratus DC. ex Nees;;12797.0;12797.0;;G;DUKE;10-DEC-97;15-JUL-05
571;338;Cymbopogon flexuosus;(NEES ex STEUDEL) J. F. WATSON;Cymbopogon;flexuosus;;;;;(NEES ex STEUDEL) J. F. WATSON;;;;;Poaceae;;38353002.0;12804.0;12804.0;;G;DUKE;10-DEC-97;15-JUL-05
572;339;Cymbopogon martinii;(ROXB.) J. F. WATSON;Cymbopogon;martinii;;;;;(ROXB.) J. F. WATSON;;;;;Poaceae;;38353003.0;;;;G;DUKE;10-DEC-97;15-JUL-05
573;340;Cymbopogon nardus;(L.) RENDLE;Cymbopogon;nardus;;;;;(L.) RENDLE;;;;;Poaceae;;38353004.0;12810.0;12810.0;;G;DUKE;10-DEC-97;15-JUL-05
575;342;Cymbopogon winterianus;JOWITT;Cymbopogon;winterianus;;;;;JOWITT;;;;;Poaceae;;38353005.0;103628.0;103628.0;;G;DUKE;10-DEC-97;15-JUL-05
578;1357;Cyperus articulatus;;Cyperus;articulatus;;;;;;;;;;Cyperaceae;;;12899.0;12899.0;;;DUKE;10-DEC-97;15-JUL-05
579;345;Cyperus rotundus;L.;Cyperus;rotundus;;;;;L.;;;;;Cyperaceae;;;316644.0;316644.0;;F;DUKE;10-DEC-97;15-JUL-05
580;346;Cyphomandra betacea;(CAV.) SENDT.;Cyphomandra;betacea;;;;;(CAV.) SENDT.;;;;;Solanaceae;;540032001.0;;;;F;DUKE;10-DEC-97;15-JUL-05
582;348;Cyrtosperma chamissonis;(SCHOTT) MERR.;Cyrtosperma;chamissonis;;;;;(SCHOTT) MERR.;;;;;Araceae;;44028001.0;;;;M;DUKE;10-DEC-97;15-JUL-05
587;349;Cytisus scoparius;(L.) LINK.;Cytisus;scoparius;;;;;(L.) LINK.;;;;;Fabaceae;;283248002.0;13019.0;13019.0;;M;DUKE;10-DEC-97;15-JUL-05
591;350;Daemonorops draco;BL.;Daemonorops;draco;;;;;BL.;;;;;Arecaceae;;;13138.0;13138.0;;M;DUKE;10-DEC-97;15-JUL-05
594;1498;Dalbergia sericea;;Dalbergia;sericea;;;;;;;;;;Fabaceae;;;13168.0;13168.0;;M;DUKE;10-DEC-97;15-JUL-05
597;353;Datura candida;(PERS,) SAFF.;Datura;candida;;;;;(PERS,) SAFF.;;;;;Solanaceae;;;;;;M;DUKE;10-DEC-97;15-JUL-05
598;354;Datura innoxia;MILL.;Datura;innoxia;;;;;MILL.;;;;;Solanaceae;;540039008.0;;;;M;DUKE;10-DEC-97;15-JUL-05
599;355;Datura metel;L.;Datura;metel;;;;;L.;;;;;Solanaceae;;540039003.0;13315.0;13315.0;;M;DUKE;10-DEC-97;15-JUL-05
600;356;Datura stramonium;L.;Datura;stramonium;;;;;L.;;;;;Solanaceae;;;13323.0;13323.0;;M;DUKE;10-DEC-97;15-JUL-05
601;357;Daucus carota;L.;Daucus;carota;;;;;L.;;;;;Apiaceae;;;300172.0;300172.0;;F;DUKE;10-DEC-97;15-JUL-05
606;1499;Derris trifoliata;;Derris;trifoliata;;;;;;;;;;Fabaceae;;;13555.0;13555.0;;M;DUKE;10-DEC-97;15-JUL-05
607;1873;Desmodium gangeticum;(L.) DC.;Desmodium;gangeticum;;;;;(L.) DC.;;;;;Fabaceae;;;13632.0;13632.0;;M;DUKE;10-DEC-97;15-JUL-05
608;1500;Desmodium pulchellum;;Desmodium;pulchellum;;;;;;;;;;Fabaceae;;;;;;M;DUKE;10-DEC-97;15-JUL-05
610;1501;Dicliptera roxburghiana;;Dicliptera;roxburghiana;;;;;;;;;;Acanthaceae;;;;;;M;DUKE;10-DEC-97;15-JUL-05
612;359;Dictamnus albus;L.;Dictamnus;albus;;;;;L.;;;;;Rutaceae;;302031001.0;13928.0;13928.0;;M;DUKE;10-DEC-97;15-JUL-05
613;1992;Dictamnus angustifolius;;Dictamnus;angustifolius;;;;;;;;;;Rutaceae;;;13929.0;13929.0;;M;DUKE;10-DEC-97;15-JUL-05
614;1993;Dictamnus caucasicus;;Dictamnus;caucasicus;;;;;;;;;;Rutaceae;;;;;;M;DUKE;10-DEC-97;15-JUL-05
616;360;Dieffenbachia seguine;(JACQ.) SCHOTT;Dieffenbachia;seguine;;;;;(JACQ.) SCHOTT;;;;;Araceae;;;13948.0;13948.0;;M;DUKE;10-DEC-97;15-JUL-05
617;361;Digitalis lanata;EHRH.;Digitalis;lanata;;;;;EHRH.;;;;;Scrophulariaceae;;;13979.0;13979.0;;M;DUKE;10-DEC-97;15-JUL-05
619;1503;Dillenia aurea;;Dillenia;aurea;;;;;;;;;;Dilleniaceae;;;;;;M;DUKE;10-DEC-97;15-JUL-05
621;1155;Dillenia indica;L.;Dillenia;indica;;;;;L.;;;;;Dilleniaceae;;;14122.0;14122.0;;M;DUKE;10-DEC-97;15-JUL-05
622;1505;Dillenia pentagyna;;Dillenia;pentagyna;;;;;;;;;;Dilleniaceae;;;14124.0;14124.0;;M;DUKE;10-DEC-97;15-JUL-05
623;1156;Dillenia retusa;THUNB.;Dillenia;retusa;;;;;THUNB.;;;;;Dilleniaceae;;;;;;M;DUKE;10-DEC-97;15-JUL-05
624;1506;Dillenia scabrella;;Dillenia;scabrella;;;;;;;;;;Dilleniaceae;;;;;;M;DUKE;10-DEC-97;15-JUL-05
627;363;Dioscorea alata;L.;Dioscorea;alata;;;;;L.;;;;;Dioscoreaceae;;;14175.0;14175.0;;F;DUKE;10-DEC-97;15-JUL-05
628;364;Dioscorea bulbifera;L.;Dioscorea;bulbifera;;;;;L.;;;;;Dioscoreaceae;;87003002.0;14186.0;14186.0;;F;DUKE;10-DEC-97;15-JUL-05
630;366;Dioscorea pentaphylla;L.;Dioscorea;pentaphylla;;;;;L.;;;;;Dioscoreaceae;;87003019.0;14237.0;14237.0;;F;DUKE;10-DEC-97;15-JUL-05
632;2167;Dioscorea villosa;L.;Dioscorea;villosa;;;;;L.;;;;;Dioscoreaceae;;;14267.0;14267.0;;M;DUKE;10-DEC-97;15-JUL-05
635;1173;Diospyros buxifolia;HIERN.;Diospyros;buxifolia;;;;;HIERN.;;;;;Ebenaceae;;;;;;M;DUKE;10-DEC-97;15-JUL-05
636;1509;Diospyros canaliculata;;Diospyros;canaliculata;;;;;;;;;;Ebenaceae;;;;;;M;DUKE;10-DEC-97;15-JUL-05
637;1510;Diospyros celebica;;Diospyros;celebica;;;;;;;;;;Ebenaceae;;;;;;M;DUKE;10-DEC-97;15-JUL-05
638;1511;Diospyros chevalieri;;Diospyros;chevalieri;;;;;;;;;;Ebenaceae;;;;;;M;DUKE;10-DEC-97;15-JUL-05
646;1516;Diospyros ebenum;;Diospyros;ebenum;;;;;;;;;;Ebenaceae;;;14283.0;14283.0;;M;DUKE;10-DEC-97;15-JUL-05
647;1517;Diospyros elliptifolia;;Diospyros;elliptifolia;;;;;;;;;;Ebenaceae;;;;;;M;DUKE;10-DEC-97;15-JUL-05
648;1518;Diospyros eriantha;;Diospyros;eriantha;;;;;;;;;;Ebenaceae;;;411852.0;411852.0;;M;DUKE;10-DEC-97;15-JUL-05
649;1731;Diospyros ferrea;;Diospyros;ferrea;;;;;;;;;;Ebenaceae;;;;;;M;DUKE;10-DEC-97;15-JUL-05
654;1176;Diospyros hirsuta;L.F.;Diospyros;hirsuta;;;;;L.F.;;;;;Ebenaceae;;;;;;M;DUKE;10-DEC-97;15-JUL-05
659;1177;Diospyros kaki;L.;Diospyros;kaki;;;;;L.;;;;;Ebenaceae;;;14293.0;14293.0;;F;DUKE;10-DEC-97;15-JUL-05
663;1178;Diospyros lotus;L.;Diospyros;lotus;;;;;L.;;;;;Ebenaceae;;;14296.0;14296.0;;M;DUKE;10-DEC-97;15-JUL-05
665;1529;Diospyros maingayi;;Diospyros;maingayi;;;;;;;;;;Ebenaceae;;;;;;M;DUKE;10-DEC-97;15-JUL-05
667;1531;Diospyros mannii;;Diospyros;mannii;;;;;;;;;;Ebenaceae;;;;;;M;DUKE;10-DEC-97;15-JUL-05
