;usageKey;acceptedUsageKey;scientificName;canonicalName;rank;status;confidence;matchType;kingdom;phylum;order;family;genus;species;kingdomKey;phylumKey;classKey;orderKey;familyKey;genusKey;speciesKey;synonym;class;note
802;3711121;;Garcinia atroviridis Griff. ex T.Anderson;Garcinia atroviridis;SPECIES;ACCEPTED;100;EXACT;Plantae;Tracheophyta;Malpighiales;Clusiaceae;Garcinia;Garcinia atroviridis;6;7707728.0;220.0;1414.0;6646.0;3189556.0;3711121.0;False;Magnoliopsida;
803;3189565;;Garcinia dulcis (Roxb.) Kurz;Garcinia dulcis;SPECIES;ACCEPTED;100;EXACT;Plantae;Tracheophyta;Malpighiales;Clusiaceae;Garcinia;Garcinia dulcis;6;7707728.0;220.0;1414.0;6646.0;3189556.0;3189565.0;False;Magnoliopsida;
804;8096611;;Garcinia xanthochymus Hook.fil. ex J.Anderson;Garcinia xanthochymus;SPECIES;ACCEPTED;99;EXACT;Plantae;Tracheophyta;Malpighiales;Clusiaceae;Garcinia;Garcinia xanthochymus;6;7707728.0;220.0;1414.0;6646.0;3189556.0;8096611.0;False;Magnoliopsida;
805;8638005;3624447.0;Gerrardanthus macrorhizus Harv.;Gerrardanthus macrorhizus;SPECIES;SYNONYM;100;EXACT;Plantae;Tracheophyta;Cucurbitales;Cucurbitaceae;Gerrardanthus;Gerrardanthus macrorhizus;6;7707728.0;220.0;7224005.0;6634.0;7317752.0;3624447.0;True;Magnoliopsida;
806;4159442;;Gironniera nervosa Planch.;Gironniera nervosa;SPECIES;ACCEPTED;100;EXACT;Plantae;Tracheophyta;Rosales;Cannabaceae;Gironniera;Gironniera nervosa;6;7707728.0;220.0;691.0;2384.0;7303546.0;4159442.0;False;Magnoliopsida;
807;6;;Plantae;Plantae;KINGDOM;ACCEPTED;99;HIGHERRANK;Plantae;;;;;;6;;;;;;;False;;
808;3080488;10701885.0;Glochidion puberum (L.) Hutch.;Glochidion puberum;SPECIES;SYNONYM;100;EXACT;Plantae;Tracheophyta;Malpighiales;Phyllanthaceae;Phyllanthus;Phyllanthus puber;6;7707728.0;220.0;1414.0;8807.0;3061139.0;10701885.0;True;Magnoliopsida;
809;5359660;;Glycine max (L.) Merr.;Glycine max;SPECIES;ACCEPTED;100;EXACT;Plantae;Tracheophyta;Fabales;Fabaceae;Glycine;Glycine max;6;7707728.0;220.0;1370.0;5386.0;7968287.0;5359660.0;False;Magnoliopsida;
810;3154661;;Goniothalamus giganteus Wall. ex Hook.f. & Thomson;Goniothalamus giganteus;SPECIES;ACCEPTED;99;EXACT;Plantae;Tracheophyta;Magnoliales;Annonaceae;Goniothalamus;Goniothalamus giganteus;6;7707728.0;220.0;718.0;9291.0;3154482.0;3154661.0;False;Magnoliopsida;
811;4100866;7300594.0;Gonostegia pentandra (Roxb.) Miq.;Gonostegia pentandra;SPECIES;SYNONYM;100;EXACT;Plantae;Tracheophyta;Rosales;Urticaceae;Pouzolzia;Pouzolzia pentandra;6;7707728.0;220.0;691.0;6639.0;2984382.0;7300594.0;True;Magnoliopsida;
812;3152666;;Gossypium barbadense L.;Gossypium barbadense;SPECIES;ACCEPTED;100;EXACT;Plantae;Tracheophyta;Malvales;Malvaceae;Gossypium;Gossypium barbadense;6;7707728.0;220.0;941.0;6685.0;3152652.0;3152666.0;False;Magnoliopsida;
813;2821306;;Grammatophyllum scriptum (L.) Blume;Grammatophyllum scriptum;SPECIES;ACCEPTED;100;EXACT;Plantae;Tracheophyta;Asparagales;Orchidaceae;Grammatophyllum;Grammatophyllum scriptum;6;7707728.0;196.0;1169.0;7689.0;2821286.0;2821306.0;False;Liliopsida;
814;7715188;;Gynura pseudochina (L.) DC.;Gynura pseudochina;SPECIES;ACCEPTED;100;EXACT;Plantae;Tracheophyta;Asterales;Asteraceae;Gynura;Gynura pseudochina;6;7707728.0;220.0;414.0;3065.0;3139806.0;7715188.0;False;Magnoliopsida;
815;8212150;;Hedyotis prostrata Blume;Hedyotis prostrata;SPECIES;ACCEPTED;100;EXACT;Plantae;Tracheophyta;Gentianales;Rubiaceae;Hedyotis;Hedyotis prostrata;6;7707728.0;220.0;412.0;8798.0;9631866.0;8212150.0;False;Magnoliopsida;
816;2912017;;Hedyotis uncinella Hook. & Arn.;Hedyotis uncinella;SPECIES;ACCEPTED;100;EXACT;Plantae;Tracheophyta;Gentianales;Rubiaceae;Hedyotis;Hedyotis uncinella;6;7707728.0;220.0;412.0;8798.0;9631866.0;2912017.0;False;Magnoliopsida;
817;2760658;;Heliconia collinsiana Griggs;Heliconia collinsiana;SPECIES;ACCEPTED;100;EXACT;Plantae;Tracheophyta;Zingiberales;Heliconiaceae;Heliconia;Heliconia collinsiana;6;7707728.0;196.0;627.0;4677.0;2760545.0;2760658.0;False;Liliopsida;
818;3152595;;Hibiscus radiatus Cav.;Hibiscus radiatus;SPECIES;ACCEPTED;100;EXACT;Plantae;Tracheophyta;Malvales;Malvaceae;Hibiscus;Hibiscus radiatus;6;7707728.0;220.0;941.0;6685.0;3152542.0;3152595.0;False;Magnoliopsida;
819;4933186;;Homalomena humilis (Jack) Hook.f.;Homalomena humilis;SPECIES;ACCEPTED;100;EXACT;Plantae;Tracheophyta;Alismatales;Araceae;Homalomena;Homalomena humilis;6;7707728.0;196.0;551.0;6979.0;2868531.0;4933186.0;False;Liliopsida;
820;2868726;;Homalomena rubescens (Roxb.) Kunth;Homalomena rubescens;SPECIES;ACCEPTED;100;EXACT;Plantae;Tracheophyta;Alismatales;Araceae;Homalomena;Homalomena rubescens;6;7707728.0;196.0;551.0;6979.0;2868531.0;2868726.0;False;Liliopsida;
821;2759754;;Hornstedtia minor (Blume) Valeton;Hornstedtia minor;SPECIES;ACCEPTED;100;EXACT;Plantae;Tracheophyta;Zingiberales;Zingiberaceae;Hornstedtia;Hornstedtia minor;6;7707728.0;196.0;627.0;4687.0;2759694.0;2759754.0;False;Liliopsida;
822;2759791;;Hornstedtia parviflora Ridl.;Hornstedtia parviflora;SPECIES;ACCEPTED;100;EXACT;Plantae;Tracheophyta;Zingiberales;Zingiberaceae;Hornstedtia;Hornstedtia parviflora;6;7707728.0;196.0;627.0;4687.0;2759694.0;2759791.0;False;Liliopsida;
823;2926823;3889017.0;Hyptis suaveolens (L.) Poit.;Hyptis suaveolens;SPECIES;SYNONYM;100;EXACT;Plantae;Tracheophyta;Lamiales;Lamiaceae;Mesosphaerum;Mesosphaerum suaveolens;6;7707728.0;220.0;408.0;2497.0;7307350.0;3889017.0;True;Magnoliopsida;
824;4193702;;Impatiens hawkeri W.Bull;Impatiens hawkeri;SPECIES;ACCEPTED;100;EXACT;Plantae;Tracheophyta;Ericales;Balsaminaceae;Impatiens;Impatiens hawkeri;6;7707728.0;220.0;1353.0;6699.0;2891766.0;4193702.0;False;Magnoliopsida;
825;3678217;;Ipomoea grandifolia (Dammer) O'Donell;Ipomoea grandifolia;SPECIES;ACCEPTED;100;EXACT;Plantae;Tracheophyta;Solanales;Convolvulaceae;Ipomoea;Ipomoea grandifolia;6;7707728.0;220.0;1176.0;2389.0;2928509.0;3678217.0;False;Magnoliopsida;
