;Plant
471;Tabernaemontana pandacaqui Lam.
472;Tacca palmata Blume
473;Uraria crinita (L.) Desv. ex DC.
474;Vernonia amygdalina Delile
475;Vigna radiata (L.) R. Wilczek
476;Xylocarpus granatum J. Koenig
477;Acanthus ebracteatus Vahl
478;Achyranthes bidentata Blume
479;Adenium obesum (Forssk.) Roem. & Schult.
480;Aglaia odorata Lour.
481;Aglaonema simplex (Blume) Blume
482;Allamanda cathartica L.
483;Allium tuberosum Rottler ex Spreng.
484;Amaranthus tricolor L.
485;Arachis hypogaea L.
486;Basella alba L.
487;Boehmeria nivea (L.) Gaudich.
488;Boesenbergia rotunda (L.) Mansf.
489;Cissus hastata Miq.
490;Citrus microcarpa Bunge
491;Clerodendrum disparifolium Blume
492;Clerodendrum thomsoniae Balf.f.
493;Clitoria ternatea L.
494;Commersonia bartramia (L.) Merr.
495;Corypha utan Lam.
496;Costus spiralis (Jacq.) Roscoe
497;Crotalaria mucronata Desv.
498;Curcuma heyneana Val. & v.Zijp.
499;Cyperus kyllingia Endl.
500;Digitaria ciliaris (Retz.) Koeler
501;Enydra fluctuans Lour.
502;Epipremnum pinnatum (L.) Engl.
503;Etlingera megalocheilos (Griff.) A.D.Poulsen
504;Eupatorium odoratum L.
505;Fagraea racemosa Jack
506;Falcataria moluccana (Miq.)
507;Ficus padana Burm.f.
508;Flemingia macrophylla (Willd.)
509;Galinsoga parviflora Cav.
510;Ganoderma lucidum
511;Garcinia parvifolia (Miq.) Miq.
512;Gmelina asiatica L.
513;Grewia laevigata Vahl
514;Hibiscus schizopetalus (Dyer) Hook. f.
515;Homalanthus arfakiensis Hutch.
516;Impatiens platycephala Y.L.Chen
517;Jasminum multiflorum (Burm.f.) Andrews
518;Kaempferia rotunda L.
519;Lagenaria siceraria (Molina) Standl.
520;Lavanga sarmentosa (Bl.) Kurz
521;Leea aequata L.
522;Lepisanthes fruticosa (Roxb.) Leenh.
523;Luffa cylindrica (L.) M.Roem.
524;Lycopersicon esculentum Mill.
525;Mimosa invisa Mart. ex Colla
526;Murraya koenigii (L.) Spreng.
527;Nopalea cochenillifera (L.) SalmDyck
528;Nypa fruticans Wurmb
529;Oldenlandia corymbosa L.
530;Ophioglossum pedunculosum Desv
531;Panicum auritum J.Presl ex Nees
532;Pennisetum purpureum Schumach.
533;Pipturus argenteus (G. Forst.) Wedd.
534;Premna serratifolia L
535;Raphanus sativus L.
536;Rhaphidophora celatocaulis (N.E. Br.)
537;Rubus chrysophyllu Reinw. ex Miq.
538;Sandoricum koetjape (Burm.f.) Merr.
539;Scleria purpurascens Steud.
540;Scoparia dulcis L.
541;Sesamum indicum L.
542;Sisyrinchium palmifolium L.
543;Solanum capsicoides Mart.
544;Solanum donianum Walp.
545;Solanum tuberosum L.
546;Spathoglottis plicata Blume
547;Tabernaemontana divaricata (L.)
548;Talinum triangulare (Jacq.) Willd.
549;Tetracera alnifolia Willd.
550;Themeda gigantea (Cav.) Hack. ex Duthie
551;Tinospora glabra (Burm. f.) Merr.
552;Triumfetta rhomboidea Jacq.
553;Vernonia amygdalina Delile
554;Adenia macrophylla (Blume) Koord.
555;Albertisia papuana Becc.
556;Allophylus cobbe (L.) Raeusch.
557;Alstonia spectabilis R.Br.
558;Alternanthera brasiliana (L.) Kuntze
559;Archidendron clypearia (Jack) I.C.Nielsen
560;Aristolochia tagala Cham.
561;Artocarpus anisophyllus Miq.
562;Artocarpus elastica Reinw. ex Bl.
563;Asystasia gangetica (L.) T.Anderson
564;Asystasia intrusa Blume
565;Axonopus compressus (Sw.) P.Beauv.
566;Baccaurea angulata Merr.
567;Baccaurea motleyana (Müll. Arg.) Müll. Arg.
568;Baccaurea reticulata Hook.f.
569;Barringtonia racemosa (L.) Spreng.
570;Boerhavia erecta L.
571;Bridelia tomentosa Blume
572;Caesalpinia crista L.
573;Caesalpinia Sumaterana Roxb.
574;Camellia sinensis (L.) Kuntze
575;Canavalia gladiata (Jacq.) DC.
576;Canna hybrida
577;Cardiospermum grandiflorum Sw.
578;Ceratopteris thalictroides (L.) Brongn.
579;Cinnamomum rhynchophyllum Miq.
580;Claoxylon longifolium (Blume) Endl. ex Hassk.
581;Cleome aspera J.König ex DC.
582;Cleome viscosa L.
583;Clerodendrum incisum Klotzsch
584;Cordia dichotoma G.Forst.
585;Cosmos caudatus Kunth
586;Cycas rumphii Miq.
587;Cynodon dactylon (L.) Pers.
588;Cyrtostachys renda Blume
589;Dendrocalamus asper (Schult.) Backer
590;Derris trifoliata Lour.
591;Desmodium umbelltum (L.)DC.
592;Dianella ensifolia (L.) DC.
593;Dichroa febrifuga Lour.
594;Dischidia imbricata (Blume) Steud.
595;Dischidia nummularia R.Br.
596;Dracaena maingayi Hook.f.
597;Dracaena surculosa Lindl.
598;Drimys angustifolia Miers.
599;Echinomitrion furcatum (L.) Corda
600;Eleutherine americana (Aubl.) Merr.
601;Eurya acuminata DC.
602;Ficus deltoidea Jack
603;Ficus pumila L.
604;Garcinia forbesii King
605;Gmelina arborea Roxb. Ex Smith.
606;Gynotroches axillaris Blume
607;Hedyotis capitellata Wall. ex G.Don
608;Helianthus annuus L.
609;Hibiscus mutabilis L.
610;Homalanthus populifolius Graham
611;Ipomoea quamoclit L.
612;Ixora paludosa (Blume) Kurz
613;Kalanchoe blossfeldiana Poelln.
614;Kyllinga brevifolia Rottb.
615;Ludwigia erecta (L.) H.Hara
616;Lygodium flexuosum (L.) Sw.
617;Macaranga indica Wight
618;Macaranga pachyphylla Mull.Arg.
619;Magnolia champaca (L.) Baill. ex Pierre
620;Mallotus subpeltatus (Blume) Müll. Arg.
621;Mallotus tiliifolius (Blume) Müll.Arg.
622;Maranta arundinacea L.
623;Melia azedarach L.
624;Monochoria vaginalis (Burm.f.) C.Presl
625;Muntingia calabura L.
626;Mussaenda frondosa L.
627;Neolamarckia macrophylla (Roxb.) Bosser
628;Ochrosia glomerata (Bl.) F.Muell.
629;Ocimum gratissimum L.
630;Oldenlandia cristata (Willd. ex Roem. & Schult.)
631;Oncosperma tigillarium (Jack) Ridl.
632;Oxalis barrelieri L.
633;Pachyrhizus erosus (L.) Urb.
634;Paspalum scrobiculatum L.
635;Pereskia bleo (Kunth) DC.
636;Persicaria barbata (L.) H. Hara
637;Phaseolus lunatus L.
638;Phyllanthus emblica L.
639;Picria felterrae Lour.
640;Piper sarmentosum Roxb.
641;Pipturus repandus Wedd.
642;Pisonia umbellifera (J.R. Forst. & G. Forst.)
643;Platycerium bifurcatum (Cav.) C. Chr.
644;Polyscias nodosa (Blume) Seem
645;Pouzolzia zeylanica (L.) Benn. & R. Br.
646;Pseuderanthemum carruthersii (Seem.)
647;Psychotria sarmentosa Blume
648;Pyrrosia nummulariifolia (Sw.) Ching
649;Rhodamnia argentea Benth.
650;Rubus fraxinifolius Poir.
651;Ruta angustifolia Pers.
652;Ruta graveolens L.
653;Sargassum muticum
654;Schizaea digitata (L.) Sw.
