,uuid,county,phylum,class,order,family,genus,taxonRank
58,8aa85aba-ed43-4160-b21e-2863d24cdab0,indonesia,Tracheophyta,Magnoliopsida,Laurales,Lauraceae,Litsea,genus
59,fa992149-9733-48a1-88bc-336d152b4bec,indonesia,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Tarenna,genus
60,e22348e7-3268-4ece-a61f-a0466f5de3cc,indonesia,Tracheophyta,Magnoliopsida,Laurales,Lauraceae,Litsea,genus
61,f08d28d0-0785-43ed-bdec-cd1cd64ffa17,indonesia,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Bauhinia,Subspecies
62,88b3c7e8-3ef9-43f3-809f-9ea88a32f3c7,indonesia,Tracheophyta,Magnoliopsida,Theales,Clusiaceae,Garcinia,genus
63,6be45a86-a045-4200-b4e0-c2a3403417ac,indonesia,Tracheophyta,Magnoliopsida,Theales,Clusiaceae,Garcinia,genus
64,a95c48c9-d19f-4777-8a29-fc49167ff9b2,indonesia,Charophyta,Equisetopsida,Laurales,Lauraceae,,family
65,6752946a-63fe-4d1b-be05-bd325b2e2df9,indonesia,Tracheophyta,Magnoliopsida,Urticales,Moraceae,Ficus,genus
66,2ccb5eb1-5efd-4661-9396-a8934511cdf1,indonesia,Tracheophyta,Magnoliopsida,Myrtales,Myrtaceae,Eugenia,genus
67,0542c10d-9240-4209-b72f-974878d6942a,indonesia,Bryophyta,Bryopsida,Dicranales,Dicranaceae,Dicranoloma,Species
68,283356b5-ac80-42bf-8f3d-b2fff7401b7d,indonesia,Bryophyta,Bryopsida,Dicranales,Leucobryaceae,Leucobryum,species
69,bda8be99-84ef-4eed-8d90-f902f1a61f6f,indonesia,Charophyta,Equisetopsida,Myrtales,Myrtaceae,Eugenia,genus
70,4659fcad-8a63-4610-936e-78ea7ad55a47,indonesia,Tracheophyta,Magnoliopsida,Theales,Clusiaceae,Garcinia,genus
71,d2520e2f-edb1-4b27-8c14-6e0773dde595,indonesia,Tracheophyta,Magnoliopsida,Urticales,Moraceae,Ficus,genus
72,52f94731-1e20-4b8b-92a5-a90cfc41b0ab,indonesia,Spermatophyta,Liliopsida,Orchidales,Orchidaceae,Crepidium,species
73,8bea1287-634f-49d3-9877-afd3443ccda6,indonesia,Tracheophyta,Magnoliopsida,Violales,Begoniaceae,Begonia,genus
74,3c5d8627-6e18-4e2a-9681-7c8e474b0e27,indonesia,Tracheophyta,Magnoliopsida,Urticales,Moraceae,Ficus,genus
75,4db87837-9ee0-42d2-bb02-d377583cc84b,indonesia,Tracheophyta,Magnoliopsida,Rosales,Urticaceae,Procris,genus
76,fa6fd020-83fe-4864-98c2-ec562908ab30,indonesia,Tracheophyta,Magnoliopsida,Theales,Theaceae,Camellia,genus
77,04b3db04-cedb-4051-8dd3-1493f498d014,indonesia,Charophyta,Equisetopsida,Gleicheniales,Dipteridaceae,,family
78,bd0afb71-e078-4578-a38c-6678d04fab33,indonesia,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Derris,genus
79,d0de14d3-b5b9-4b50-990c-386f0bb13513,indonesia,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Urophyllum,genus
80,9fcdb6d2-76b5-4dd6-a830-bda1d3477d96,indonesia,Marchantiophyta,Jungermanniopsida,,Allisoniaceae,Calycularia,Species
81,9778c18b-68af-4fbd-9aae-0aa1589bf259,indonesia,Charophyta,Equisetopsida,Solanales,Solanaceae,Solanum,genus
82,b6c4c796-37fd-4256-b70c-ddf57db2f76d,indonesia,Charophyta,Equisetopsida,Laurales,Lauraceae,,family
83,bc6acc3a-4026-4eb6-a7f8-dc8c94707c8d,indonesia,Tracheophyta,Liliopsida,Poales,Cyperaceae,Cyperus,genus
84,2616dbc7-9d66-4f5a-ad16-15cec2f596f7,indonesia,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Aporusa,genus
85,28db88c6-7710-4880-b2a1-6e4e4621ef24,indonesia,Charophyta,Equisetopsida,Ericales,Symplocaceae,,species
86,003d1e2d-1582-4ca2-97a4-f6ddd9b67df5,indonesia,Tracheophyta,Magnoliopsida,Urticales,Moraceae,Ficus,genus
87,f6f9302f-350a-4986-8718-56f22b196a40,indonesia,Tracheophyta,Magnoliopsida,Primulales,Myrsinaceae,Ardisia,genus
88,37ec43d8-99b5-41ab-880d-c498c6b6a8da,indonesia,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Urophyllum,genus
89,6b972742-608e-4fa5-b580-9d6115839a41,indonesia,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Alstonia,Species
90,87482321-2260-4994-9d69-3619088995a8,indonesia,Charophyta,Equisetopsida,Rosales,Moraceae,Ficus,genus
91,8604d961-d1e8-4532-9fea-fa68ddd57b48,indonesia,Tracheophyta,Magnoliopsida,Theales,Clusiaceae,Garcinia,genus
92,2e403280-52fe-4ce3-ad30-b7413b937ba9,indonesia,Tracheophyta,Magnoliopsida,Primulales,Myrsinaceae,Ardisia,genus
93,ad5c5377-305b-4026-a2f0-2c91a8cc1db8,indonesia,Tracheophyta,Magnoliopsida,Theales,Clusiaceae,Garcinia,genus
94,9bae8e94-ae36-4952-8fc4-fc08b23e142b,indonesia,Marchantiophyta,Marchantiopsida,Marchantiales,Aytoniaceae,Asterella,genus
95,3cf11083-5c61-4ee8-b656-4bed6e2d29d2,indonesia,Tracheophyta,Magnoliopsida,Rhamnales,Vitaceae,Cissus,genus
96,86c0f178-7665-47bd-95a5-9018649beffa,indonesia,Tracheophyta,Magnoliopsida,Myrtales,Melastomataceae,Astronia,genus
97,fd9bd95b-049d-4032-b395-bea5172bef8b,indonesia,Charophyta,Equisetopsida,Hymenophyllales,Hymenophyllaceae,Abrodictyum,species
98,948bc451-1ba4-4835-8bfb-3e2832c59482,indonesia,Tracheophyta,Magnoliopsida,Sapindales,Meliaceae,Aglaia,genus
99,b0caa6f2-4cac-48c5-ad74-7ba1f7f1825f,indonesia,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Vanda,species
100,92dc89d4-037d-430c-a520-4b9356c593ec,id,Magnoliophyta,Magnoliopsida,Ericales,Myrsinaceae,Rapanea,SPECIES
101,d312eded-ddc5-4476-9db9-aa93e82be0c8,id,Magnoliophyta,Magnoliopsida,Lamiales,Lamiaceae,Callicarpa,GENUS
102,4003b481-69e5-42ef-88d1-b7c612aa2218,id,Pteridophyta,Polypodiopsida,Polypodiales,Tectariaceae,Tectaria,GENUS
103,a35b46ad-902b-40e4-af2a-ba030bc8a77c,id,Magnoliophyta,Magnoliopsida,,,,CLASS
104,62840554-d439-4a23-b3b9-145db7f9f5f1,id,Magnoliophyta,Magnoliopsida,,,,CLASS
105,d45632ca-879a-429d-9723-11a7c79548e2,id,Pteridophyta,Polypodiopsida,Polypodiales,Pteridaceae,Pellaea,SPECIES
106,75d25e29-6008-4dca-a97e-429d97d3f847,id,,,,,,KINGDOM
107,944e263b-3276-4225-83a6-954d101c4bfe,id,Rhodophyta,Florideophyceae,Ceramiales,Rhodomelaceae,Laurencia,GENUS
108,d1e9f08a-8a6c-4472-b3db-2cc19c2a69d6,id,tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Blumeodendron,SPECIES
109,ee122fd9-7560-4aa6-93a5-f927705c43d4,id,tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Coprosma,variety
110,fb97e333-994c-4564-8b18-182423530ecd,id,Rhodophyta,Florideophyceae,Ceramiales,Rhodomelaceae,Chondrophycus,SPECIES
111,e9f43541-82fc-42bf-9891-5bdd82cd0260,id,Rhodophyta,Florideophyceae,Ceramiales,Rhodomelaceae,Laurencia,species
